Red Corner,Blue Corner,Number,Date,Winner,Result,Judge 1,Judge 2,Judge 3
Floyd Mayweather Jr,Manny Pacquiao,,05/02/2015,r,UD,Burt A Clements,Glenn Feldman,Dave Moretti
https://www.youtube.com/watch?v=39zhhfMGNRk
10,9,9,8,9,9,9,9,9,9,9,
Terence Crawford,Kell Brook,,11/14/2020,r,TKO,Patricia Morse Jarman,Dave Moretti,Benoit Roussel
https://www.youtube.com/watch?v=GHNzmtEh7P0
9,10,10,,,,,,,,,
10,9,9,,,,,,,,,
9,9,10,,,,,,,,,
10,10,9,,,,,,,,,
9,9,10,,,,,,,,,
10,10,9,,,,,,,,,
Timothy Bradley Jr,Manny Pacquiao,2,04/12/2014,b,UD,Michael Pernick,Glenn Trowbridge,Craig Metcalfe
https://www.youtube.com/watch?v=z2W-FZwbaD4
9,9,10,10,10,9,9,10,9,9,9,9
10,10,9,9,9,10,10,9,10,10,10,10
9,9,9,10,10,9,9,9,9,9,9,9
10,10,10,9,9,10,10,10,10,10,10,10
10,9,9,10,10,9,9,9,10,9,9,9
9,10,10,9,9,10,10,10,9,10,10,10
Erik Morales,Marco Antonio Barrera,1,02/19/2000,r,SD,Carol Castellano,Dalby Shirley,Duane Ford
https://www.youtube.com/watch?v=rId9_GLxYqE
9,9,10,10,10,10,10,9,9,10,10,8
10,10,9,9,9,9,9,10,10,9,9,10
9,9,10,9,10,10,10,10,10,10,10,8
10,10,9,10,9,9,9,9,9,9,9,10
9,10,10,9,10,9,10,9,10,10,9,8
10,9,9,10,9,10,9,10,9,9,10,10
Jamel Herring,Shakur Stevenson,,10/23/2021,b,TKO,Glenn Feldman,Edward Kanner,Rocky Young
https://www.youtube.com/watch?v=DFWQToum1bs
9,9,9,9,9,9,9,9,9,,,
10,10,10,10,10,10,10,10,10,,,
10,9,9,9,9,9,9,9,9,,,
9,10,10,10,10,10,10,10,10,,,
9,9,9,9,9,9,9,9,9,,,
10,10,10,10,10,10,10,10,10,,,
Erik Morales,Manny Pacquiao,1,03/19/2005,r,UD,Chuck Giampa,Dave Moretti,Paul Smith
https://www.youtube.com/watch?v=Sl4V0e2Odqw
9,10,9,10,10,10,9,10,9,10,10,9
10,9,10,9,9,9,10,9,10,9,9,10
9,10,9,10,10,10,9,10,9,10,10,9
10,9,10,9,9,9,10,9,10,9,9,10
9,10,9,10,10,9,10,10,9,10,10,9
10,9,10,9,9,10,9,9,10,9,9,10
Artur Beterbiev,Radivoje Kalajdzic,,05/04/2019,r,KO,Michael Tate,Zachary Young,Edward Hernandez Sr
https://www.youtube.com/watch?v=EDqaDXy5S0Y
10,10,10,10,,,,,,,,
9,9,8,9,,,,,,,,
10,10,10,10,,,,,,,,
9,9,8,9,,,,,,,,
10,10,10,10,,,,,,,,
9,9,8,9,,,,,,,,
Vasyl Lomachenko,Jose Luis Ramirez,,10/12/2013,r,KO,Richard Houck,Adalaide Byrd,Lisa Giampa
https://www.youtube.com/watch?v=nlkJshhCZGs
10,10,10,,,,,,,,,
8,9,9,,,,,,,,,
10,10,10,,,,,,,,,
8,9,9,,,,,,,,,
10,10,10,,,,,,,,,
8,9,9,,,,,,,,,
Vasyl Lomachenko,Teofimo Lopez,,10/17/2020,b,UD,Julie Lederman,Steve Weisfeld,Tim Cheatham
https://www.youtube.com/watch?v=WVmlc28bQeQ
9,9,9,9,9,9,9,9,9,9,10,9
10,10,10,10,10,10,10,10,10,10,9,10
9,9,9,9,9,9,9,10,9,10,10,9
10,10,10,10,10,10,10,9,10,9,9,10
9,9,9,9,9,9,9,10,10,10,10,9
10,10,10,10,10,10,10,9,9,9,9,10
Manny Pacquiao,Jeff Horn,,07/02/2017,b,UD,Ramon Cerdan,Chris Flores,Waleska Roldan
https://www.youtube.com/watch?v=3guJ7X3p3bk
9,9,10,9,10,9,9,9,10,10,10,9
10,10,9,10,9,10,10,10,9,9,9,10
9,10,10,9,9,9,9,10,10,10,9,9
10,9,9,10,10,10,10,9,9,9,10,10
9,9,10,9,9,9,9,10,10,9,9,9
10,10,9,10,10,10,10,9,9,10,10,10
George Foreman,Adilson Rodrigues,,06/16/1990,r,KO,Jerry Roth,Bill Graham,Dave Moretti
https://www.youtube.com/watch?v=NSa0Cw0QleU
10,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
9,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
Raymundo Beltran,Jose Pedraza,,08/25/2018,b,UD,Robert Hoyle,Lisa Giampa,Rubin Rocky Taylor
https://www.youtube.com/watch?v=ZLzPGoFjR2w
9,9,10,10,9,10,9,9,9,9,8,9
10,10,9,9,10,9,10,10,10,10,10,10
9,9,9,10,9,10,10,9,9,9,8,9
10,10,10,9,10,9,9,10,10,10,10,10
10,9,9,10,10,10,9,9,9,10,8,9
9,10,10,9,9,9,10,10,10,9,10,10
Ray Leonard,Thomas Hearns,2,06/12/1989,d,SD,Tom Kaczmarek,Dalby Shirley,Jerry Roth
https://www.youtube.com/watch?v=PY1aIAEpUUg
10,10,8,9,10,10,9,9,10,10,8,10
9,9,10,10,8,9,10,10,9,9,10,9
9,9,8,10,10,9,10,9,10,10,8,10
10,10,10,9,8,10,9,10,9,9,10,8
9,9,8,10,10,9,10,9,10,10,8,10
10,10,10,9,8,10,9,10,9,9,10,9
Vasyl Lomachenko,Guillermo Rigondeaux,,12/09/2017,r,RTD,Glenn Feldman,Steve Weisfeld,Kevin Morgan
https://www.youtube.com/watch?v=yvu2ch3U7Fo
9,10,10,10,10,10,,,,,,
10,9,9,9,9,8,,,,,,
10,10,10,10,10,10,,,,,,
9,9,9,9,9,8,,,,,,
9,10,10,10,10,10,,,,,,
10,9,9,9,9,8,,,,,,
Naoya Inoue,Michael Dasmarinas,,06/19/2021,r,KO,Patricia Morse Jarman,Don Trella,Tim Cheatham
https://www.youtube.com/watch?v=drnts3p7HqU
10,10,,,,,,,,,,
9,8,,,,,,,,,,
10,10,,,,,,,,,,
9,8,,,,,,,,,,
10,10,,,,,,,,,,
9,8,,,,,,,,,,
Timothy Bradley Jr,Brandon Rios,,11/07/2015,r,TKO,Glenn Feldman,Glenn Trowbridge,Adalaide Byrd
https://www.youtube.com/watch?v=JPtk8PW_Xfg
10,10,10,10,10,10,10,10,,,,
9,9,9,9,9,9,9,9,,,,
10,10,10,10,10,10,10,10,,,,
9,9,9,9,9,9,9,9,,,,
10,10,10,10,10,10,10,10,,,,
9,9,9,9,9,9,9,9,,,,
Manny Pacquiao,Erik Morales,2,01/21/2006,r,TKO,Jerry Roth,Dave Moretti,Paul Smith
https://www.youtube.com/watch?v=aoW2IvstfNY
10,10,9,9,9,10,10,10,10,,,
9,9,10,10,10,9,9,9,9,,,
9,10,9,9,9,10,10,10,10,,,
10,9,10,10,10,9,9,9,9,,,
10,10,9,9,9,10,10,10,10,,,
9,9,10,10,10,9,9,9,9,,,
Floyd Mayweather Jr,Diego Corrales,,01/20/2001,r,TKO,Jerry Roth,John Keane,Anek Hongtongkam
https://www.youtube.com/watch?v=t0qZ3tc_VJg
10,10,10,10,10,10,10,10,10,,,
9,9,9,9,9,9,7,9,9,,,
10,10,10,10,10,10,10,10,10,,,
9,9,9,9,9,9,6,9,9,,,
10,10,10,10,10,10,10,10,9,,,
9,9,9,9,9,9,6,9,10,,,
Floyd Mayweather Jr,Genaro Hernandez,,10/03/1998,r,RTD,Terry Smith,Bob Logist,Chuck Giampa
https://www.youtube.com/watch?v=JsYDYJfj_u4
10,10,10,10,10,10,10,9,,,,
9,9,9,9,9,9,9,10,,,,
10,10,10,10,10,10,10,10,,,,
9,9,9,9,9,9,9,9,,,,
10,10,10,10,10,10,10,9,,,,
9,9,9,9,9,9,9,10,,,,
Terence Crawford,Egidijus Kavaliauskas,,12/14/2019,r,TKO,Ron McNair,Tom Schreck,Waleska Roldan
https://www.youtube.com/watch?v=IMNjLLh6upk
10,9,10,10,10,10,10,10,,,,
9,10,9,9,9,9,8,9,,,,
10,9,9,10,10,10,10,10,,,,
9,10,10,9,9,9,8,9,,,,
10,10,9,10,10,10,10,10,,,,
9,9,10,9,9,9,8,9,,,,
Jason Moloney,Aston Palicte,,06/05/2022,r,TKO,Andrew Campbell,Brett Manton,Martin O'Malley
https://www.youtube.com/watch?v=nMAQ2jxuyDQ
10,10,,,,,,,,,,
9,9,,,,,,,,,,
10,10,,,,,,,,,,
9,9,,,,,,,,,,
10,10,,,,,,,,,,
9,9,,,,,,,,,,
Xander Zayas,Elias Espadas,,08/13/2022,r,TKO,Max DeLuca,David Sutherland,Chris Migliore
https://www.youtube.com/watch?v=t1cWj7qGgN0
10,10,10,10,,,,,,,,
8,9,9,9,,,,,,,,
10,10,10,10,,,,,,,,
8,9,9,9,,,,,,,,
10,10,10,10,,,,,,,,
8,9,9,9,,,,,,,,
Artur Beterbiev,Marcus Browne,,12/17/2021,r,KO,Kevin Scott,Barry Lindenman,Benoit Roussel
https://www.youtube.com/watch?v=qM5GgrjOzp4
9,10,10,10,10,10,10,10,,,,
10,9,9,9,9,9,8,9,,,,
9,9,9,10,10,10,10,10,,,,
10,10,10,9,9,9,8,9,,,,
9,9,9,10,10,10,10,10,,,,
10,10,10,9,9,9,8,9,,,,
Oleksandr Gvozdyk,Artur Beterbiev,,10/18/2019,b,TKO,Ron McNair,John Poturaj,John McKaie
https://www.youtube.com/watch?v=o-uVjGnJzdI
9,10,10,10,9,9,10,10,9,,,
